topic,concatenated_summary,new_summary
8.0,"I don't blame you for being upset. I would be too. I think any of us would be upset for being called something ugly for trying to help. There are a few that dont want an interpreter and its written in CAPS in their chart. For this company, they look for people who have a  95% english level, so colloquial terms or something of the sort is not an issue, but the accent or the pronunciation of certain words is something that well, we have different A couple of days ago a lady told me to transfer her to someone from the United States because she wanted someone who knew about shoes ??????????~~I also worked for a military affiliated credit union and we had a few workers that were bilingual and usually worked the Spanish only line because we needed them there the most, but occasionally English callers would get that line. I had two separate occasions where my peers had to transfer calls to me because some idiot racist claimed they couldnt understand the rep or that since the rep greeted them in Spanish they didn't want to work with them! ~ I had a customer call in and ask for an English speaking representative. I told him that I was English and he said he didn't want to talk to me because I had an accent. I told him that I was born and raised in Australia and he said he wanted to talk to someone in America. I told him that I was in America and he still didn't want to talk to me. He wanted to talk to someone who was born in America. I told him that he was being racist and he got mad and hung up on me. ~ I have a thick accent. I'm from Texas. I've worked in call centers for years and have been screamed at, hung up on, and insulted because of it. I've also had to deal with people who are rude to my co-workers because of their accents. I'm sorry you're going through this. I know how it feels. ~ I'm so sorry you had to go through that. Ive had to hang up the call quickly so they didnt hear me cry a few times myself while working at a call center. During the BLM thing she had to tell a customer she had only spoken to over the phone, they wouldn't be giving him a loan. My job is actually bilingual, so I do speak French regularly and fluently BUT it is not my first language. If I make even the slightest mistake (""le rue"" instead of ""la rue"" for example) people will either mock me, switch to English and refuse to speak French again or continue speaking French and just correct me in the rudest way possible. One of my first French calls here, I was so nervous I stuttered a lot (nerves make my language skills go bye bye). My supervisor pulled me into her office, slammed the door behind me and asked if I really did speak French or if I just pretended for the interview. ~ I worked in a call center for almost 10 years, we didn't have interpreters on staff, we just occasionally had agents that happened to know a different language. So one day, I got a lady that only spoke Spanish, so I had to try to find someone to help me out. So I found one of the sales reps. Very Mexican-like name, looked Spanish. I discovered that I had stereotyped him, cause he didn't speak a word of Spanish. Pretty cool dude, laughed pretty hard about it, and almost 3 years after I left the call center, we're still friends.","I'm so sorry you had to go through that. Ive had to hang up the call quickly so they didnt hear me cry a few times myself while working at a call center. During the BLM thing she had to tell a customer she had only spoken to over the phone, they wouldn't be giving him a loan. My job is actually bilingual, so I do speak French regularly and fluently BUT it is not my first language. If I make even the slightest mistake (""le rue"" instead of ""la rue"" for example) people will either mock me, switch to English and refuse to speak French again or continue speaking French and just correct me in the rudest way possible. One of my first French calls here, I was so nervous I stuttered a lot (nerves make my language skills go bye bye). My supervisor pulled me into her office, slammed the door behind me and asked if I really did speak French or if I just pretended for the interview."
9.0,"I was in retail for a decade. I was in a call center role for 9 months, then got promoted to a department that dealt with the angriest of the angry customers (the ones asking for the CEO) for 2 1/2 years. Went for a training department role where I am now. I dont even have a work extension. Never will talk to a customer again. The past year has been the happiest of my life. ~ I've been in a call centre for 5 years. I cry before I clock in. I cry between calls. I cry after I clock out. I'm looking for a new job. I don't want to be a call centre worker anymore. ~ I worked customer service in a call centre and I loved the job. I loved being able to help people, to sort out their issues and calm people down. Many of my colleagues had worked there for years. We had a high turnover of staff but the core always remained. Hang in there. The Holidays are always the hardest being in a call center. Its always stressful for people so they lash out. No customers or stats to worry about. ~ I've been in call centres for 13 years. I'm now looking to get out. I'm currently on Â£10.50ph, with no prospect of a pay rise. I'm working 60hrs a week, and have been for the last 6 months. I'm working 10pm-8am, 4 days on, 3 days off. I'm not sleeping properly, and am constantly stressed. I'm not getting any time to myself, and am struggling to find the energy to do anything in my spare time. I'm seeing a counsellor to try and help with my depression. I'm looking for a new job, but it's hard to find something that pays as well as this one. I'm also looking at going back to university. ~ I'm about to start a new job as a supervisor in a call center. I've never been a supervisor before and I'm worried about the stress of dealing with angry customers all day. I've heard horror stories about supervisors getting screamed at and being verbally abused by customers. I'm also worried about the monotony of the job. I've heard that supervisors have to deal with a lot of paperwork and have to micromanage their employees. I'm also worried about the low pay. I've heard that supervisors barely make any more than their employees. I'm also worried about the attrition rate. I've heard that supervisors have to deal with a lot of turnover. ~ I got started in a call center in 2017, I was dialing at a  broker for a car insurance company, I sucked at the dialing job and got fired after 2 months and went to another call center selling accidental disability Cover, got fired there too   cycle continued until I end up in client services. I think the best thing you can do is try to channel that frustration into motivation. When you get off work try to really focus on those certs, or something else that interests you. Now that you are gaining customer service experience it wont take much to get into an entry level helpdesk position. The sooner you focus on that and get it out of the way the sooner you can leave this miserable job behind. Your health and sanity is more important than any job, and life is too short to waste it being unhappy.",I've been in a call centre for 5 years. I cry before I clock in. I cry between calls. I cry after I clock out. I'm looking for a new job. I don't want to be a call centre worker anymore.
10.0,"I work in a call center and we have a lot of customers who book through 3rd party sites and then get upset when we can't do anything for them because they didnt book directly with us. Like, they'll call and say ""I booked a room for 2 adults and 2 children, but there's only 2 beds, what are you going to do about it?"" And we're like ""uh, we can't help you, you didn't book directly with us, you need to call the 3rd party site you booked with."" And they're like ""but they said they could help me if I had any problems!"" And we're like ""no, you need to call them. We can't do anything for you."" And they get mad and start screaming at us. It's so annoying. ~ I worked in a call center for a booking website and dealt with some really odd calls where customers would get abusive because she couldn't help them plan vacations to places like Middle Earth, or her favorite- a woman who was adamant they could help her book a flight to Kenya and get her a ticket to take the beanstalk to Luna City 5 (We assume this person read a Robert Heinlein book and thought it was real not sci-fi). Ive been the extra before, was with my girlfriends family, they invited me to join them on a trip somewhere, I figured all was legit and fine. When we got to the hotel my girlfriends dad told me to hang back for awhile while they checked in, I will gladly explain to you in detail why this is the policy"" Shuts 'em up every time, and it's not accusatory (""YOU didn't let me finish"") so they don't feel like you're back talking. ~ I work in reservations for a hotel company and I get that so many times a day as well. Them - I'm on your website and it's says X hotel is sold out tonight so I thought I'd call to double check Them - So can I book a room with you over the phone? Me - The hotel is sold out. There are no rooms to book Them - What if I go to the front desk? Me - They'll tell you the same thing. There are no rooms available. I can book you one of our other hotels nearby instead Them - No I wanted X. It's so unfair *hangs up* They wont be able to sack you and you could get compensation for them trying. ~ You need to get a lawyer now. If only because they can file an injunction against the company to prevent them from firing you. You require a reasonable accommodation. Once the injunction has been filed you can fight them on it. ~ A's friend called to book a reservation for a hotel room. A's friend was confused about the total price of the room, so A's friend called the call center to clarify. A's friend was then put on hold for a few minutes. A's friend's father called the call center to complain about the wait time. The call center employee who took the call from A's friend's father then told A's friend that she was being rude for being put on hold. A's friend then became angry and told the call center employee that she was not being rude. The call center employee then told A's friend that she was fired.","I work in a call center and we have a lot of customers who book through 3rd party sites and then get upset when we can't do anything for them because they didnt book directly with us. Like, they'll call and say ""I booked a room for 2 adults and 2 children, but there's only 2 beds, what are you going to do about it?"" And we're like ""uh, we can't help you, you didn't book directly with us, you need to call the 3rd party site you booked with."" And they're like ""but they said they could help me if I had any problems!"" And we're like ""no, you need to call them. We can't do anything for you."" And they get mad and start screaming at us. It's so annoying."
11.0,"I enjoy calls like this. Wait sir what color are our voices again? I have received a letter and I don't understand it. There were times that they were so computer illiterate I was shocked how they were even able to call our number. We always tried our best to remote into our customers computers to fix something for ourselves. Once I asked a man to go to a website and he didn't know how. So I literally just said ""okay, open the internet"" and this man had no idea how. I was shocked. ~ I used to work for a credit card processor. We provided service for credit card machines, mostly used by small businesses. I'd frequently have similar conversations with people. They couldn't take credit cards while their machine was down, but never had any interest in buying a backup so they wouldn't have to wait for us to overnight one.","I used to work for a credit card processor. We provided service for credit card machines, mostly used by small businesses. I'd frequently have similar conversations with people. They couldn't take credit cards while their machine was down, but never had any interest in buying a backup so they wouldn't have to wait for us to overnight one."
12.0,"I have worked in the contact center industry for 30 years. This is a common tactic for a certin type of crazy person who has some perceived gripe with the company. They call over and over again and just waste agent's time. One investigation I took part in showed the company had received over 2000 calls in 2 years from the same nutcase. We would block his phone number and he would buy another burner phone and start again the next week. ~ I work in a call center. I don't mind helping people who have online problems, but if you've saved yourself 40 a year by signing up to manage your account online then that's what you're obliged to do. No, some nimwit probably just handed them the keys. ""Well, ma'am, this means that there is a field on the form which you are filling out which is empty but must be filled-in before the form can be submitted. ~ I get it. I deal with it too. Drives me batty but... It's not just old people, it's bad UX. Then the ability to reset without calling is bizarre (banks requiring 3+ factor authentication or an art software company not allowing any letter from your name even though that's not how it is explained in their requirements) which leads to more confusion. They get flustered and frustrated that something doesn't just work so when they do finally call they're struggling to listen and comprehend because they're trying to find the right box and hear the right thing... Dammit, I'm old. ~ I had a guy tell me this morning that he's an important executive and his time is valuable and he doesn't have time to wait in queue for a call from a tech and it's disrespectful that a tech isn't the one who answers the phone and we can't help him RIGHT NOW. I had a guy tell me this morning that he's an important executive and his time is valuable and he doesn't have time to wait in queue for a call from a tech and it's disrespectful that a tech isn't the one who answers the phone and we can't help him RIGHT NOW. I had a guy tell me this morning that he's an important executive and his time is valuable and he doesn't have time to wait in queue for a call from a tech and it's disrespectful that a tech isn't the one who answers the phone and we can't help him RIGHT NOW. ~ I work at a call center for an ISP. We frequently get calls for email password resets. Before we can process any changes though, we have to verify the caller's ID, obviously. the fist question I ask always seems to be the hardest one for the callers to answer: ""What city are you calling from?"" You'd think it would be a VERY easy question to answer, but over 90% of the callers will have me repeat the question, and then ask me what I mean... I even preface it by saying ""Let's bring up your account,"" so they should be aware that I'm looking for basic information. ~ I am a customer service rep. I know, I know, don't get me started, some people have like 10 accounts and they can only use 1 for that particular service we provide. The hardest part is logging them out and logging them back in with the correct login smh. Yesterday I had someone who literally couldn't read, and I had to explain what the button looks like and how many letters are in the word ""log-out"" and ""login"". People are allergic to any self service option, period. I get so much backsass from asking people with tech issues what troubleshooting they've already done. ""It's not my job to troubleshoot! It's yours!","I have worked in the contact center industry for 30 years. This is a common tactic for a certin type of crazy person who has some perceived gripe with the company. They call over and over again and just waste agent's time. One investigation I took part in showed the company had received over 2000 calls in 2 years from the same nutcase. We would block his phone number and he would buy another burner phone and start again the next week. ~ I work in a call center. I don't mind helping people who have online problems, but if you've saved yourself 40 a year by signing up to manage your account online then that's what you're obliged to do. No, some nimwit probably just handed them the keys. ""Well, ma'am, this means that there is a field on the form which you are filling out which is empty but must be filled-in before the form can be submitted."
13.0,"I'm a cable company customer service rep. I've been in this field for about 2 years now. I've had some pretty interesting calls. I've had people yell at me for things that are not my fault. I've had people threaten to sue me and my company. I've had people threaten to have me fired. I've had people curse at me. I've had people call me names. I've had people ask me to break company policies for them. I've had people ask me to lie to them. I've had people ask me to give them free services. I've had people ask me to give them discounts. I've had people ask me to give them a free month of service. I've had people ask me to give them free cable boxes. I've had people ask me to give them free remotes. I've had people ask me to give them free DVRs. I've had people ask me to give them free On Demand services. I've had people ask me to give them free high speed internet. I've had people ask me to give them free digital cable. I've had people ask me to give them free HBO. ~ I'm not about to argue over $1 customer called irate stating service was cut off. Account flagged for excessive credit. Credit denied. customer requested sup. Customer wants to cancel because she says we only charge Mexicans $5 a month. Call transferred to retention. Account has been reinstated without payment 4 months in a row. Advised must bring account to a zero balance to resume service. customer requested supervisor. ~ I've snapped at a user before because he was giving me such attitude and was like ""fix my computer"". I'd ask ""what's wrong with your computer?"" and he just said ""i don't know, just fix it"". So I also snapped and afterwards he apologised and we actually talked about it like adults about how we both could have worded it differently. I can imagine it being true that someone *wouldn't* need any of those features and still be working from home. (i.e. ~ I work for a cell phone provider and this one customer called in to complain so much we weren't supposed to talk with her anymore, nor our supervisors nor managers. She gets transferred to the advocacy office every time. The reason she didn't have a phone anymore was because she sold it, and then wanted us to just provide her another one for free. ~ I work at a call center that gets inbound calls from other call centers. I feel your pain. I have to constantly tell these folks to slow down and speak clearly. Oh and ask a yes no question? and you WILL get a response that takes 10 minutes to unwind.",I'm a cable company customer service rep. I've been in this field for about 2 years now. I've had some pretty interesting calls. I've had people yell at me for things that are not my fault. I've had people threaten to sue me and my company. I've had people threaten to have me fired. I've had people curse at me. I've had people call me names. I've had people ask me to break company policies for them. I've had people ask me to lie to them. I've had people ask me to give them free services. I've had people ask me to give them free cable boxes. I've had people ask me to give them free remotes. I've had people ask me to give them free On Demand services. I've had people ask me to give them free HBO.
14.0,"I worked in a call centre, one night a woman called to find out why her TV service wasnt working. Me: it says here that youre deceased. Her: WHAT?!? Her name was something like Carol Jackson. So the agent that opened that piece of mail GUESSED which Carol Jackson died, and disconnected the wrong account. I asked some authenticating questions, then apologized profusely and reconnected her services. Her: you know ... Me: again maam, I am REALLY SORRY. And I notified a supervisor, so that some could start calling the other Carol Jacksons to check in... ~ I had a friend who had taken over a call (we were both supervisors at that time), in which the customer was throwing a backhanded fit because we turned off his satellite service, screaming about how hed never received a first notice. My friend very calmly stated, Sir, your bill WAS your first notice. I about fell out of my chair laughing! ~ I work tech support, and what I wouldn't give to be able to cancel accounts when I have to deal with that kind of BS instead of transferring to our retention department. Even worse, I'm a ""supervisor"" so I'm at least the second person to tell them we cant do what they want. I had a customer call in and when I asked for their name they gave me the male name on the account, so I called them sir and they got mad because it was the wife of the account holder. Well why did you give me your husband's name when I asked for your name? ~ ""I'm too old to use a computer"" is one of the most common lies told to customer service. It's not a crime to tell a lie to customer service, but it is a crime to impersonate someone else. It's also a crime to threaten to hurt yourself to avoid paying a bill. ~ I work for a financial institution and can 100% confirm they dont want to send you to collections, nor repossess (if secured loan) something. We will work our damnedest to not take your car/house back for non payment. It costs us money and time to chase it down and we never get whats owed back. ~ This is why every call should be recorded at all call centers but especially collection ones. With today's computer systems there's no reason not to. And supervisors should listen before they call.","I worked in a call centre, one night a woman called to find out why her TV service wasnt working. Me: it says here that youre deceased. Her: WHAT?!? Her name was something like Carol Jackson. So the agent that opened that piece of mail GUESSED which Carol Jackson died, and disconnected the wrong account. I asked some authenticating questions, then apologized profusely and reconnected her services. Her: you know ... Me: again maam, I am REALLY SORRY. And I notified a supervisor, so that some could start calling the other Carol Jacksons to check in..."
15.0,"I worked at a call center for a major credit card company for awhile. One of the departments that I worked near was the social media group. I can't tell you how many times people have been canned for mentioning the company online, even in a positive light. ~ I work in a call centre. I get some really difficult customers. I'm not sure if it's because they're just having a bad day, or they're just a jerk. I had a lady call in today. She was angry about a parking ticket. She was swearing up a storm. I tried to help her, but she just got angrier. I politely told her that I could not help her further and transferred her to another agent. She started to curse at me and then hung up. I'm not sure if I should feel bad or not. ~ I worked for an entertainment company. Whenever customers were on the verge of not getting their way, they would say, ""Well, maybe I should just cancel my services with *company*! How does that sound?"" I would just respond back in a matter-of-fact tone, ""If you believe that is for the best, I can certainly help you out with that. Are you sure you want to continue with cancellation?"" Some of them would change their tune so fast, caught completely off guard that I didn't play into their bullshit. ~ Call center workers share their worst customer experiences. Some of the stories are so bad, they're funny. Others are just sad. ~ I work for a major US cell carrier. We are not allowed to hang up on customers, even if they are being abusive. We are supposed to follow a certain escalation policy and if the customer still gets nasty, we are to get our manager involved. I have had customers threaten to sue me, call my manager and scream at me. I have had customers tell me they are going to contact the BBB and the Attorney General's office. I have had customers tell me they are going to make my life miserable. I have had customers tell me they are going to contact the media and tell them how horrible I am. I have had customers tell me they are going to contact the FBI and have me arrested. I have had customers tell me they are going to contact the FCC and have me banned from calling. I have had customers tell me they are going to contact the FTC and have me fined. I have had customers tell me they are going to contact the police and have me arrested. I have had customers tell me they are going to contact the FBI and have me arrested. I have had customers tell me they are going to contact the FBI and have me arrested. ~ I feel you. My job can absolutely 100% be done from home. They let us use our cell phone during work so we know hipaa isn't a huge issue for them, we don't handle ssn either. Yet they are conducting business as usual. Nothing has been sanitized as often as they claimed it would be. I care for my elderly sick mother and my daughter and I'm really worried about their health. Our company is a joke, they don't care about our health and the ironic thing is that our company is in the health industry.","I'm a call center worker. I get some really difficult customers. I'm not sure if it's because they're just having a bad day, or they're just a jerk. I had a lady call in today. She was angry about a parking ticket. She was swearing up a storm. I tried to help her, but she just got angrier. I politely told her that I could not help her further and transferred her to another agent. She started to curse at me and then hung up."
16.0,"I'm sure you're aware of the recent changes to our policy. As a result, you will no longer be able to receive the free service you've been enjoying. I'm sorry for the inconvenience. However, you can still purchase the service at a discounted rate. ~ This is a collection of stories from tech support workers who have to deal with the most ridiculous things from customers. Some of them are just plain lazy, while others are just too stupid to understand how things work. Some of them are just plain lazy, while others are just too stupid to understand how things work.","I'm sure you're aware of the recent changes to our policy. As a result, you will no longer be able to receive the free service you've been enjoying. I'm sorry for the inconvenience. However, you can still purchase the service at a discounted rate."
17.0,"I once had an elderly couple calling about their fancy new phone...they were stereotypically clueless but unlike a lot of callers they knew it and that's why they were calling an 'expert' They put me on speaker and we began...they were the most adorably couple of sweet people I've ever had call me The call took forever but I didn't mind a bit My number one pet peeve of all pet peeves is when I'm talking with someone and they decide they want to suddenly interrupt me with one of these: wait wait wait WAIT! or a: hey hey! HEY! HEYYYYYY!!! Someone dropped one of these on me today and before they could get the last bit off *click*. I usually make a quick callback attempt and then disconnect after a ring or two to make it look like it was possibly an error and that I tried to reach them back. ~ I'm sorry, but I would have hung up on her. I can't stand when people talk to me like that. I'm not a customer service rep, I'm a computer engineer. I'm not paid to take abuse from people like that. I would have said something like ""I'm sorry, I can't help you if you're going to talk to me like that. Goodbye."" Then I would have hung up. I'm sorry, but I'm not paid to be abused. ~ I work in a call center. I'm not an airline worker. I'm not a lawyer. I'm just a guy. Here's some unsolicited advice on how to deal with airline customer service. 1. Read the terms and conditions. 2. Don't threaten to sue. 3. Be nice. 4. Be patient. 5. Listen to the agent. 6. Don't hang up. 7. Don't swear. 8. Don't be a jerk. 9. Don't lie. 10. Don't waste the agent's time. 11. Don't call back. 12. Don't threaten the agent. 13. Don't ask to speak to a supervisor. 14. Don't be a Karen. ~ I work at an airline call center. I'm not going to say which one, but it rhymes with ""Southwest"". I deal with all sorts of calls, but some are more memorable than others. I'll share some of those stories. Some are funny, some are sad, and some are just plain WTF. I'll also give some advice on how to get what you want out of an airline, and how to not get what you don't want.",I once had an elderly couple calling about their fancy new phone...they were stereotypically clueless but unlike a lot of callers they knew it and that's why they were calling an 'expert' They put me on speaker and we began...they were the most adorably couple of sweet people I've ever had call me The call took forever but I didn't mind a bit My number one pet peeve of all pet peeves is when I'm talking with someone and they decide they want to suddenly interrupt me with one of these: wait wait wait WAIT! or a: hey hey! HEY! HEYYYYYY!!! Someone dropped one of these on me today and before they could get the last bit off *click*. I usually make a quick callback attempt and then disconnect after a ring or two to make it look like it was possibly an error and that I tried to reach them back.
18.0,"I'm pretty sure I know where you work and I'm pretty sure I worked there too and yeah not only is money more important, but they actively despise you. I would absolutely get out ASAP. Which he probably is, but there wouldn't be any way for you to know that. I've heard this from heating technicians. People call in to the gas company because their heat isn't working, they get told (like I was) that there are 150 people ahead of them for service and they'll be out in about 18 hours, so they figure they'll call in a gas leak and jump the queue. ~ I work for a gas utility too and it never ceases to amaze me how people always forget their heaters use gas. ""I've never had a $300 bill before! Somethings wrong!"" Using your heater during the coldest time of day, it's going on all night long... ""

""Oh I love this sort of thing. She takes great care to sound like she is ""making calculations"" - even putting them on hold - before returning to announce the ""good news"" that the manager has approved a ""generous"" refund.... Of 70 PENCE ( or similar low figure) to cover the cost of the day's outage ha!

""I don't understand why that matters. ~ I'm sorry you had to deal with the flailing, angry grasps at straws from someone at during worst part of their life. I'd counsel you to see it as that, they've latched onto a negative interaction with you as part of the grieving process. We all see the worst of people in our 'profession' as I'll loosely call it, especially you in a complaints role. I'm giving her the most charitable interpretation I can because the best thing a call centre agent can do for their own mental health is to try do the same, if you write off every customer as an inhuman monster it feeds into the negative thought spiral that call centre work can propagate. ~ Karen is a power company customer who is upset that her bill is higher than her neighbors. She wants to know why. She is also upset that the power company won't send someone to read her meter. She is threatening to cancel her service. The power company employee tries to explain that it's not possible to send someone to read her meter because of COVID. Karen is not happy with that. ~ I work for the after hours (Answering Service) line for several power companies. We always get ""I'm on oxygen! I need my power back on or I'm doing to DIE! Do you want my death on your conscience? I want a call back NOW with an ETA!!!",The customer is always right. Even when they're wrong. And sometimes they're just batsh*t crazy. These are the stories of people who work in customer service. And the customers who drive them crazy.
19.0,"I get a request for a CEO once a week. The customers think that the higher up the chain they go, that the more sympathetic they'll be to their grievance. People assume that if I tell them something that I don't want to hear, that I am making a personal decision, rather than simply enforcing a policy that has already existed. I love the customers who use the Attorney card. A few of them I've had advised they had retained an attorney for the matter. Once I explained I can no longer assist then and they need to have their attorney contact us directly, they immediately recanted their statement. ~ I don't remember the context, but somebody was repeatedly interrupting me over and over again while I was trying to resolve her issue, mostly just to complain about how she had initially reached a Filipino agent, whom she felt had poor social skills. She was incredibly mad about it. I calmly said ""Yes, I understand entirely. I know exactly how it feels to have somebody cut you off over and over again for no reason."" She wasn't very smart, so she assumed I was being genuinely empathetic and this de-escalated the entire call. ~ I'm sorry Frontline couldn't solve your issue, we are the highest level of support... Thank you for contacting the BBB, we are the highest level of support... Thank you for contacting the FCC , we are the highest level of support... Look, you can complain to whomever you like, your gonna get me. ~ I had a customer threaten to shoot me. I was able to get him to calm down and not do anything stupid. I had to call the police because he was making threats to shoot himself and others. He was upset because he didn't qualify for a $10,000 withdrawal from his retirement account. I told him he didn't qualify and he threatened to shoot me. I told him to go ahead and shoot me. He then said he would shoot himself. I told him to go ahead and do that. He then said he would shoot others. I told him to go ahead and do that. He then said he would call back later. ~ I had a customer call in to cancel his account. He was rude, belligerent, and obnoxious. He demanded to speak to a supervisor. I told him he would have to call back and try for another agent. He got mad and said he would call back and make sure I got fired. I told him to go ahead and call back. He called back and got another agent. He was still rude, belligerent, and obnoxious. The agent was able to help him. ~ I used to work for the complaints department of a high street bank. I was part of the head office customer complaints team, which was actually based in the NW of England. The amount of people that would call in, get ENRAGED they were talking to someone in the NW and not London and would then be transferred to me, because I have a London accent. How insulting as well to think that just because someone comes from a different area than you think HO is based then theyre not going to have the authority to refund your 10 charge?","I get a request for a CEO once a week. The customers think that the higher up the chain they go, that the more sympathetic they'll be to their grievance. People assume that if I tell them something that I don't want to hear, that I am making a personal decision, rather than simply enforcing a policy that has already existed. I love the customers who use the Attorney card. A few of them I've had advised they had retained an attorney for the matter. Once I explained I can no longer assist then and they need to have their attorney contact us directly, they immediately recanted their statement."
